4	1677161117.40649	1677161117.63482	0
3	1677161117.52775	1677161117.71350	2
6	1677161117.51576	1677161117.81686	1
4	1677161117.63482	1677161117.85200	0
1	1677161117.71350	1677161117.90247	2
3	1677161117.81686	1677161117.94767	1
6	1677161117.85200	1677161117.98336	0
2	1677161117.94767	1677161118.08629	1
5	1677161117.98336	1677161118.11411	0
7	1677161117.90247	1677161118.15441	2
4	1677161118.11411	1677161118.22208	0
2	1677161118.08629	1677161118.24759	1
0	1677161118.22208	1677161118.31758	0
1	1677161118.22208	1677161118.31758	0
6	1677161118.24759	1677161118.42813	1
4	1677161118.31758	1677161118.46781	0
7	1677161118.15441	1677161118.50592	2
4	1677161118.50592	1677161118.62580	2
6	1677161118.42813	1677161118.65099	1
5	1677161118.46781	1677161118.68318	0
0	1677161118.68318	1677161118.74496	0
2	1677161118.62580	1677161118.77576	2
0	1677161118.74496	1677161118.80565	0
6	1677161118.65099	1677161118.82643	1
1	1677161118.82643	1677161118.87208	1
3	1677161118.77576	1677161118.90671	2
2	1677161118.80565	1677161118.94720	0
0	1677161118.94720	1677161118.99267	0
4	1677161118.87208	1677161119.00600	1
5	1677161118.90671	1677161119.04542	2
4	1677161119.00600	1677161119.11709	1
3	1677161118.99267	1677161119.14791	0
5	1677161119.11709	1677161119.24230	1
2	1677161119.14791	1677161119.27574	0
3	1677161119.24230	1677161119.38454	1
0	1677161119.38454	1677161119.42278	1
7	1677161119.04542	1677161119.49871	2
5	1677161119.27574	1677161119.53672	0
0	1677161119.49871	1677161119.58316	2
1	1677161119.49871	1677161119.58316	2
3	1677161119.42278	1677161119.61393	1
4	1677161119.53672	1677161119.66973	0
5	1677161119.58316	1677161119.74616	2
2	1677161119.61393	1677161119.77800	1
0	1677161119.74616	1677161119.81612	2
1	1677161119.74616	1677161119.81612	2
7	1677161119.66973	1677161119.85670	0
0	1677161119.81612	1677161119.89514	2
1	1677161119.81612	1677161119.89514	2
5	1677161119.77800	1677161119.92973	1
0	1677161119.89514	1677161119.95847	2
